What_is_your_educational_level?,Provide_physical_therapy_to_people_recovering_from_an_injury,Create_special_effects_for_movies/_edit_movies,Give_career_guidance_to_people,Manage_a_department_within_a_large_company,Manage_the_operations_of_a_hotel,Study_the_movement_of_planets,Load_computer_software_into_a_large_computer_network,Assemble_electronic_parts,Draw_pictures,Compute_and_record_statistical_and_other_numerical_data,Write_a_song,Act_in_a_play,Study_space_travel,Conduct_chemical_experiments,Develop_a_new_medicine,Play_a_musical_instrument,Organize_and_schedule_office_meetings,Teach_an_individual_or_a_group_of_students,Handle_customers_bank_transactions,Assemble_Products_in_a_Factory,Manage_a_supermarket,Buy_and_sell_land,Want_to_serve_the_motherland_with_prestige,Write_books_or_plays,Teach_children_how_to_play_sports,Perform_comedy_routines_in_front_of_an_audience,Perform_nursing_duties_in_a_hospital,Write_scripts_for_movies_or_television_shows,Test_the_quality_of_parts_before_shipment,Start_your_own_business,Catch_fish_as_a_member_of a_fishing_crew,Help_elderly_people_with_their_daily_activities,Sell_computer_equipment_in_a_store,Develop_a_way_to_better_predict_the_weather,Do_laboratory_tests_to_identify_diseases,Study_ways_to_reduce_water_pollution,Sell_automobiles,Investigate_crimes,Teach_a_high-school_class,Market_a_new_line_of_clothing,Audition_singers_and_musicians_for_a_musical_show,Maintain_network_hardware_and_software,Set_up_and_operate_machines_to_make_products,Give_a_presentation_of_a_product_you_are_selling,Spray_trees_to_prevent_the_spread_of_harmful_insects,Knowledge_of_marketing_strategy,Keep_records_for_financial_transactions_for_an_organization,Teach_sign_language_to_people_with_hearing_disabilities,Loves_to_know_about_new_technology,Interest_to_know_how_computer_works,Career
post_graduation,strongly dislike,strongly dislike,dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,Civil Services
post_matric,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,dislike,dislike,dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,dislike,strongly dislike,strongly dislike,like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,Civil Services
post_intermediate,strongly dislike,strongly dislike,like,strongly like,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly like,strongly like,strongly dislike,like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,Management
professional,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,Civil Services
post_matric,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,Civil Services
post_intermediate,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,Civil Services
post_graduation,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,Civil Services
professional,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,Civil Services
post_intermediate,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,Civil Services
post_graduation,strongly dislike,strongly dislike,strongly dislike,dislike,dislike,dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,Civil Services
post_matric,strongly dislike,strongly dislike,strongly dislike,unsure,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,like,strongly dislike,strongly dislike,strongly dislike,Finance and Accounts
post_graduation,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,Finance and Accounts
post_graduation,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,Finance and Accounts
professional,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,dislike,dislike,Finance and Accounts
professional,strongly dislike,strongly dislike,strongly dislike,strongly dislike,unsure,unsure,unsure,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,like,like,strongly dislike,strongly dislike,strongly dislike,unsure,like,dislike,dislike,dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,Law
post_matric,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,Finance and Accounts
professional,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,Finance and Accounts
post_intermediate,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,Finance and Accounts
professional,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,like,strongly dislike,strongly dislike,strongly dislike,Finance and Accounts
post_graduation,strongly dislike,strongly dislike,dislike,dislike,dislike,strongly dislike,dislike,dislike,dislike,like,dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,dislike,dislike,dislike,like,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,like,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,like,dislike,dislike,dislike,Finance and Accounts
post_matric,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,like,strongly dislike,strongly dislike,professor or teacher
post_intermediate,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,like,strongly dislike,strongly dislike,professor or teacher
post_graduation,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,professor or teacher
professional,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,dislike,strongly dislike,like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,professor or teacher
post_matric,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,professor or teacher
post_intermediate,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,like,strongly dislike,strongly dislike,professor or teacher
post_graduation,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,dislike,strongly dislike,strongly dislike,professor or teacher
professional,strongly dislike,strongly dislike,dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,dislike,strongly dislike,strongly dislike,professor or teacher
post_intermediate,strongly dislike,strongly dislike,dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,like,strongly dislike,unsure,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,professor or teacher
post_matric,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,like,strongly dislike,strongly dislike,strongly like,like,Startup
post_intermediate,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,like,strongly dislike,Startup
post_graduation,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,like,like,Startup
professional,strongly dislike,strongly dislike,strongly dislike,strongly dislike,dislike,strongly dislike,strongly dislike,strongly dislike,dislike,dislike,dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,like,strongly dislike,strongly dislike,like,strongly dislike,Startup
post_matric,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly like,strongly like,Startup
post_intermediate,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,like,strongly dislike,strongly dislike,strongly like,like,Startup
post_graduation,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,like,strongly dislike,strongly dislike,like,like,Startup
post_graduation,dislike,unsure,like,unsure,unsure,unsure,unsure,unsure,like,unsure,dislike,dislike,unsure,dislike,unsure,unsure,like,dislike,unsure,like,unsure,dislike,unsure,dislike,strongly dislike,dislike,dislike,unsure,unsure,strongly like,unsure,unsure,unsure,like,dislike,unsure,dislike,dislike,dislike,dislike,dislike,like,like,like,unsure,like,like,dislike,strongly like,like,Startup
post_graduation,dislike,dislike,like,like,unsure,dislike,unsure,unsure,unsure,like,dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,unsure,like,strongly like,like,unsure,dislike,strongly dislike,strongly dislike,strongly dislike,unsure,strongly like,unsure,unsure,unsure,unsure,unsure,like,unsure,unsure,dislike,dislike,strongly dislike,like,strongly like,like,like,like,like,unsure,like,like,Startup
post_graduation,dislike,dislike,strongly like,strongly like,unsure,like,like,like,like,like,like,unsure,unsure,unsure,strongly dislike,strongly dislike,like,dislike,strongly dislike,like,like,strongly dislike,dislike,unsure,unsure,strongly dislike,strongly dislike,strongly dislike,unsure,strongly like,like,unsure,like,like,dislike,dislike,strongly dislike,unsure,dislike,dislike,dislike,dislike,like,strongly like,like,strongly like,strongly like,dislike,like,like,Startup
